RecordID,MachineID,ProductCode,Shift,OperatorID,StartTime,EndTime,QuantityProduced,Defects,Temperature,Pressure,Status,ProcessedFlag
4031,MCH002,PRD1002,C,OP108,33:20.0,33:20.0,850,8,70.3,1.08,Completed,1
4032,MCH003,PRD1003,B,OP219,07:41.0,07:41.0,800,6,80.26,1.24,Completed,1
4033,MCH010,PRD1005,C,OP276,41:08.0,41:08.0,900,3,73.22,1.11,Completed,1
4034,MCH001,PRD1004,C,OP204,47:30.0,47:30.0,632,19,89.38,1.36,Completed,1
4035,MCH002,PRD1002,B,OP177,00:48.0,00:48.0,548,20,88.27,1.16,Completed,1
4036,MCH002,PRD1002,C,OP158,05:58.0,05:58.0,411,11,77.32,1.31,Completed,1
4037,MCH001,PRD1003,A,OP147,10:51.0,10:51.0,989,8,79.16,1.01,Completed,1
4038,MCH003,PRD1004,C,OP151,09:51.0,09:51.0,519,10,75.38,1.22,Completed,1
4039,MCH001,PRD1001,B,OP179,27:11.0,27:11.0,661,1,89.73,1.27,Completed,1
4040,MCH006,PRD1005,A,OP206,57:14.0,57:14.0,851,18,74.38,1.16,Completed,1
4041,MCH001,PRD1001,B,OP273,31:08.0,31:08.0,735,13,86.1,1.35,Completed,1
4042,MCH006,PRD1003,C,OP162,40:31.0,40:31.0,811,13,86.43,1.31,Completed,1
4043,MCH003,PRD1004,A,OP267,29:20.0,29:20.0,765,7,88.35,1.11,Completed,1
4044,MCH006,PRD1005,A,OP231,03:14.0,03:14.0,649,4,80.84,1.2,Completed,1
4045,MCH003,PRD1002,A,OP135,07:43.0,07:43.0,657,8,77.19,1.04,Completed,1
4046,MCH006,PRD1004,C,OP222,52:33.0,52:33.0,487,20,71.95,1.33,Completed,1
4047,MCH003,PRD1005,C,OP159,52:57.0,52:57.0,523,12,72.21,1,Completed,1
4048,MCH001,PRD1001,B,OP208,28:22.0,28:22.0,558,3,73.82,1.23,Completed,1
4049,MCH009,PRD1003,A,OP257,50:02.0,50:02.0,933,11,72.71,1.27,Completed,1
4050,MCH003,PRD1003,C,OP279,40:13.0,40:13.0,491,1,70.86,1.39,Completed,1
4051,MCH003,PRD1004,B,OP234,17:00.0,17:00.0,861,6,87.69,1.49,Completed,1
4052,MCH001,PRD1002,A,OP237,56:27.0,56:27.0,942,11,80,1.08,Completed,1
4053,MCH003,PRD1003,A,OP231,23:27.0,23:27.0,413,8,83.83,1.44,Completed,1
4054,MCH002,PRD1004,C,OP205,35:47.0,35:47.0,838,19,77.41,1.26,Completed,1
4055,MCH001,PRD1002,B,OP222,50:08.0,50:08.0,765,5,88.54,1.49,Completed,1
4056,MCH001,PRD1003,B,OP241,06:37.0,06:37.0,800,7,76.84,1.24,Completed,1
4057,MCH001,PRD1005,A,OP254,13:21.0,13:21.0,560,17,89.85,1.47,Completed,1
4058,MCH001,PRD1004,C,OP259,30:24.0,30:24.0,552,9,76.87,1.48,Completed,1
4059,MCH002,PRD1001,B,OP232,30:10.0,30:10.0,507,3,73.48,1.41,Completed,1
4060,MCH002,PRD1005,C,OP289,50:51.0,50:51.0,742,6,72.13,1.02,Completed,1
4061,MCH001,PRD1005,A,OP236,41:14.0,41:14.0,572,5,80.49,1.39,Completed,1
4062,MCH003,PRD1003,C,OP260,42:26.0,42:26.0,725,13,78.87,1.37,Completed,1
4063,MCH001,PRD1002,C,OP163,23:42.0,23:42.0,906,10,81.28,1.46,Completed,1
4064,MCH003,PRD1001,A,OP141,34:22.0,34:22.0,515,19,86.02,1.22,Completed,1
4065,MCH002,PRD1003,C,OP102,55:53.0,55:53.0,842,18,86.14,1.03,Completed,1
4066,MCH002,PRD1002,A,OP220,08:51.0,08:51.0,503,17,81.58,1.07,Completed,1
4067,MCH003,PRD1001,B,OP189,31:58.0,31:58.0,975,18,75.74,1.39,Completed,1
4068,MCH002,PRD1001,A,OP149,41:50.0,41:50.0,739,11,77.34,1.42,Completed,1
4069,MCH008,PRD1002,A,OP115,06:25.0,06:25.0,586,7,73.35,1.2,Completed,1
4070,MCH005,PRD1002,C,OP287,47:35.0,47:35.0,831,4,72.85,1.18,Completed,1
4071,MCH003,PRD1004,C,OP235,52:22.0,52:22.0,904,10,74.54,1.5,Completed,1
4072,MCH005,PRD1005,A,OP265,03:17.0,03:17.0,822,13,70.39,1.01,Completed,1
4073,MCH002,PRD1005,B,OP100,32:40.0,32:40.0,763,6,71.79,1.4,Completed,1
4074,MCH005,PRD1005,A,OP281,17:32.0,17:32.0,721,6,70.2,1.29,Completed,1
4075,MCH003,PRD1004,C,OP109,38:58.0,38:58.0,884,11,84.06,1.4,Completed,1
4076,MCH005,PRD1002,B,OP283,52:42.0,52:42.0,824,15,81.42,1.48,Completed,1
4077,MCH001,PRD1005,B,OP201,00:28.0,00:28.0,401,13,82.96,1.04,Completed,1
4078,MCH001,PRD1004,C,OP209,12:45.0,12:45.0,616,8,76.56,1.16,Completed,1
4079,MCH008,PRD1005,B,OP264,18:42.0,18:42.0,690,20,77.57,1.35,Completed,1
4080,MCH008,PRD1003,A,OP193,59:12.0,59:12.0,927,6,75.24,1.09,Completed,1
4081,MCH001,PRD1002,A,OP225,43:54.0,43:54.0,757,12,85.64,1.01,Completed,1
4082,MCH002,PRD1004,A,OP120,43:45.0,43:45.0,650,15,87.06,1.48,Completed,1
4083,MCH002,PRD1004,C,OP244,55:42.0,55:42.0,636,18,71.45,1.01,Completed,1
4084,MCH003,PRD1004,C,OP127,39:17.0,39:17.0,841,7,88.06,1.34,Completed,1
4085,MCH003,PRD1002,B,OP148,03:37.0,03:37.0,806,16,87.19,1.35,Completed,1
4086,MCH002,PRD1003,A,OP210,32:29.0,32:29.0,963,5,78,1.36,Completed,1
4087,MCH002,PRD1003,A,OP134,22:47.0,22:47.0,862,14,79.69,1.48,Completed,1
4088,MCH003,PRD1002,C,OP287,00:06.0,00:06.0,706,0,85.17,1.37,Completed,1
4089,MCH008,PRD1003,C,OP153,36:38.0,36:38.0,581,5,73.74,1,Completed,1
4090,MCH007,PRD1001,B,OP187,33:11.0,33:11.0,771,1,83.68,1.07,Completed,1
4091,MCH001,PRD1004,B,OP124,00:54.0,00:54.0,775,17,73.02,1.5,Completed,1
4092,MCH002,PRD1005,C,OP200,58:04.0,58:04.0,744,8,81.28,1.27,Completed,1
4093,MCH001,PRD1004,C,OP267,49:01.0,49:01.0,796,18,78.26,1.1,Completed,1
4094,MCH007,PRD1002,A,OP142,38:04.0,38:04.0,416,10,80.78,1.35,Completed,1
4095,MCH001,PRD1001,A,OP205,36:48.0,36:48.0,640,17,76.77,1.06,Completed,1
4096,MCH007,PRD1005,C,OP279,25:20.0,25:20.0,849,12,75.02,1.18,Completed,1
4097,MCH002,PRD1001,A,OP143,16:07.0,16:07.0,970,0,77.19,1.18,Completed,1
4098,MCH002,PRD1004,B,OP288,09:09.0,09:09.0,727,8,77.07,1.42,Completed,1
4099,MCH009,PRD1004,A,OP194,15:37.0,15:37.0,498,12,87.82,1.44,Completed,1
4100,MCH003,PRD1005,C,OP134,15:04.0,15:04.0,581,3,85.96,1.09,Completed,1
4101,MCH001,PRD1004,A,OP282,16:06.0,16:06.0,947,1,85.21,1.35,Completed,1
4102,MCH003,PRD1003,A,OP269,21:12.0,21:12.0,653,7,88.67,1.02,Completed,1
4103,MCH003,PRD1001,B,OP157,00:14.0,00:14.0,585,20,78.98,1.44,Completed,1
4104,MCH001,PRD1005,C,OP189,48:28.0,48:28.0,407,16,73.98,1.11,Completed,1
4105,MCH002,PRD1005,B,OP108,57:40.0,57:40.0,471,1,71.33,1.3,Completed,1
4106,MCH001,PRD1004,A,OP214,41:14.0,41:14.0,493,4,84.94,1.36,Completed,1
4107,MCH002,PRD1004,C,OP273,24:11.0,24:11.0,421,6,85.1,1.23,Completed,1
4108,MCH003,PRD1002,B,OP277,50:13.0,50:13.0,881,7,85.78,1.35,Completed,1
4109,MCH003,PRD1004,C,OP103,23:28.0,23:28.0,632,10,71.1,1.02,Completed,1
4110,MCH001,PRD1005,B,OP195,13:36.0,13:36.0,946,13,80.52,1.49,Completed,1
4111,MCH001,PRD1003,C,OP128,26:12.0,26:12.0,758,12,76.73,1.35,Completed,1
4112,MCH003,PRD1005,B,OP245,31:46.0,31:46.0,502,17,83.81,1.06,Completed,1
4113,MCH001,PRD1002,A,OP272,49:42.0,49:42.0,859,12,87.82,1.21,Completed,1
4114,MCH001,PRD1004,C,OP293,16:45.0,16:45.0,720,4,77.31,1.27,Completed,1
4115,MCH003,PRD1002,C,OP231,00:57.0,00:57.0,762,13,78.95,1.31,Completed,1
4116,MCH001,PRD1002,B,OP155,42:16.0,42:16.0,676,0,89.36,1.33,Completed,1
4117,MCH001,PRD1005,A,OP256,37:59.0,37:59.0,710,4,86.12,1.07,Completed,1
4118,MCH002,PRD1004,C,OP106,21:31.0,21:31.0,410,20,89.11,1.35,Completed,1
4119,MCH001,PRD1004,A,OP200,11:41.0,11:41.0,946,0,79.54,1.05,Completed,1
4120,MCH002,PRD1004,C,OP122,56:53.0,56:53.0,740,2,87.47,1.26,Completed,1
4121,MCH002,PRD1003,A,OP275,02:39.0,02:39.0,612,1,70.37,1.46,Completed,1
4122,MCH002,PRD1005,C,OP268,18:04.0,18:04.0,707,13,89.56,1.08,Completed,1
4123,MCH003,PRD1001,A,OP154,20:25.0,20:25.0,604,14,76.65,1.24,Completed,1
4124,MCH001,PRD1001,A,OP184,20:24.0,20:24.0,669,1,86.56,1.25,Completed,1
4125,MCH003,PRD1004,A,OP152,29:54.0,29:54.0,760,6,78.31,1.42,Completed,1
4126,MCH003,PRD1003,C,OP179,22:56.0,22:56.0,844,12,87.48,1.31,Completed,1
4127,MCH002,PRD1001,A,OP184,12:39.0,12:39.0,841,16,85.29,1.05,Completed,1
4128,MCH003,PRD1001,C,OP269,43:15.0,43:15.0,844,17,70.06,1.34,Completed,1
4129,MCH001,PRD1001,C,OP222,45:57.0,45:57.0,451,10,83.09,1.14,Completed,1
4130,MCH003,PRD1002,A,OP247,59:40.0,59:40.0,454,11,88.72,1.36,Completed,1
4131,MCH001,PRD1004,A,OP149,22:18.0,22:18.0,548,15,83.43,1.24,Completed,1
4132,MCH001,PRD1005,B,OP126,55:14.0,55:14.0,939,7,78.43,1.06,Completed,1
4133,MCH001,PRD1002,B,OP288,48:42.0,48:42.0,468,6,83.89,1.28,Completed,1
4134,MCH003,PRD1005,C,OP141,56:45.0,56:45.0,819,11,89.68,1.14,Completed,1
4135,MCH003,PRD1001,C,OP208,28:58.0,28:58.0,480,18,71.34,1,Completed,1
4136,MCH001,PRD1002,A,OP230,18:55.0,18:55.0,573,3,72.69,1.4,Completed,1
4137,MCH001,PRD1005,C,OP271,08:40.0,08:40.0,852,0,76.94,1.05,Completed,1
4138,MCH002,PRD1001,A,OP203,01:41.0,01:41.0,749,13,85.36,1.4,Completed,1
4139,MCH001,PRD1002,B,OP249,00:21.0,00:21.0,418,5,81.07,1.36,Completed,1
4140,MCH002,PRD1003,C,OP108,49:36.0,49:36.0,717,16,76.18,1.18,Completed,1
4141,MCH002,PRD1001,C,OP119,04:03.0,04:03.0,927,11,83.67,1.35,Completed,1
4142,MCH002,PRD1001,A,OP240,01:31.0,01:31.0,674,1,73.14,1.04,Completed,1
4143,MCH002,PRD1004,B,OP299,44:48.0,44:48.0,690,4,85.02,1.16,Completed,1
4144,MCH003,PRD1001,C,OP185,06:48.0,06:48.0,448,16,70.66,1.22,Completed,1
4145,MCH003,PRD1001,C,OP148,47:29.0,47:29.0,548,13,85.99,1.26,Completed,1
4146,MCH001,PRD1001,C,OP158,13:48.0,13:48.0,570,10,78.15,1.4,Completed,1
4147,MCH001,PRD1001,A,OP134,12:34.0,12:34.0,411,2,83.67,1.45,Completed,1
4148,MCH002,PRD1003,C,OP122,18:50.0,18:50.0,486,2,86.15,1.43,Completed,1
4149,MCH001,PRD1003,A,OP265,53:36.0,53:36.0,933,6,77.87,1.15,Completed,1
4150,MCH002,PRD1004,A,OP164,56:31.0,56:31.0,964,14,87.76,1.48,Completed,1
4151,MCH003,PRD1003,B,OP170,19:38.0,19:38.0,882,18,80.48,1.33,Completed,1
4152,MCH002,PRD1001,C,OP145,44:38.0,44:38.0,424,9,70.45,1.39,Completed,1
4153,MCH003,PRD1002,C,OP297,04:49.0,04:49.0,448,9,75.06,1.49,Completed,1
4154,MCH001,PRD1004,C,OP267,40:09.0,40:09.0,890,11,85.6,1.05,Completed,1
4155,MCH001,PRD1002,B,OP159,53:29.0,53:29.0,635,17,87.94,1.35,Completed,1
4156,MCH003,PRD1004,B,OP110,20:14.0,20:14.0,540,15,85.89,1.02,Completed,1
4157,MCH002,PRD1002,C,OP231,46:48.0,46:48.0,741,1,89.81,1.49,Completed,1
4158,MCH003,PRD1003,A,OP250,06:35.0,06:35.0,737,5,81.62,1.32,Completed,1
4159,MCH002,PRD1004,A,OP176,51:36.0,51:36.0,465,3,85.94,1.07,Completed,1
4160,MCH003,PRD1005,B,OP195,09:17.0,09:17.0,638,4,79.86,1.33,Completed,1
4161,MCH001,PRD1002,A,OP202,11:50.0,11:50.0,486,11,75.55,1.22,Completed,1
4162,MCH002,PRD1004,B,OP233,50:26.0,50:26.0,456,20,77.6,1.46,Completed,1
4163,MCH003,PRD1001,A,OP121,24:53.0,24:53.0,563,19,87.66,1.16,Completed,1
4164,MCH001,PRD1001,A,OP139,34:49.0,34:49.0,514,5,77.75,1.23,Completed,1
4165,MCH002,PRD1003,B,OP166,22:26.0,22:26.0,696,18,87.61,1.49,Completed,1
4166,MCH002,PRD1003,B,OP151,29:04.0,29:04.0,637,19,77.4,1.25,Completed,1
4167,MCH001,PRD1005,C,OP262,09:12.0,09:12.0,847,19,88.78,1.35,Completed,1
4168,MCH002,PRD1001,B,OP176,01:05.0,01:05.0,582,7,72.78,1.2,Completed,1
4169,MCH001,PRD1002,A,OP177,12:49.0,12:49.0,559,0,82.96,1.39,Completed,1
4170,MCH003,PRD1003,C,OP256,57:17.0,57:17.0,880,19,70.49,1.33,Completed,1
4171,MCH001,PRD1001,B,OP257,54:13.0,54:13.0,941,3,73.47,1.11,Completed,1
4172,MCH002,PRD1001,C,OP153,21:34.0,21:34.0,602,1,70.04,1.32,Completed,1
4173,MCH001,PRD1003,A,OP209,34:35.0,34:35.0,457,4,82,1.1,Completed,1
4174,MCH003,PRD1002,B,OP147,51:09.0,51:09.0,1000,0,70.21,1.4,Completed,1
4175,MCH003,PRD1002,B,OP176,09:42.0,09:42.0,542,5,84.51,1.48,Completed,1
4176,MCH003,PRD1001,B,OP166,29:09.0,29:09.0,544,14,72.26,1.21,Completed,1
4177,MCH003,PRD1001,A,OP143,24:57.0,24:57.0,446,7,89.45,1.26,Completed,1
4178,MCH001,PRD1001,C,OP109,46:57.0,46:57.0,799,7,86.09,1.34,Completed,1
4179,MCH001,PRD1001,C,OP296,12:14.0,12:14.0,566,0,76.13,1.14,Completed,1
4180,MCH001,PRD1005,B,OP154,28:50.0,28:50.0,406,1,75.19,1.4,Completed,1
4181,MCH002,PRD1005,A,OP269,51:43.0,51:43.0,772,0,85.24,1.2,Completed,1
4182,MCH001,PRD1001,C,OP142,05:55.0,05:55.0,815,8,87.4,1.24,Completed,1
4183,MCH002,PRD1002,C,OP259,26:34.0,26:34.0,499,20,77.49,1.48,Completed,1
4184,MCH003,PRD1004,A,OP238,54:34.0,54:34.0,711,5,75.48,1.45,Completed,1
4185,MCH001,PRD1005,C,OP206,17:20.0,17:20.0,519,1,82.67,1.33,Completed,1
4186,MCH001,PRD1005,B,OP190,07:14.0,07:14.0,536,11,75.92,1.31,Completed,1
4187,MCH001,PRD1005,B,OP252,38:44.0,38:44.0,947,2,79.55,1.13,Completed,1
4188,MCH003,PRD1002,B,OP282,14:40.0,14:40.0,765,0,71.85,1.49,Completed,1
4189,MCH003,PRD1005,C,OP285,21:42.0,21:42.0,462,15,71.27,1.49,Completed,1
4190,MCH002,PRD1003,A,OP207,01:17.0,01:17.0,688,15,72.19,1.41,Completed,1
4191,MCH003,PRD1001,C,OP171,37:52.0,37:52.0,672,8,80.54,1.37,Completed,1
4192,MCH003,PRD1003,B,OP192,19:55.0,19:55.0,457,10,87.02,1.47,Completed,1
4193,MCH003,PRD1005,C,OP191,58:36.0,58:36.0,864,17,84.01,1.14,Completed,1
4194,MCH001,PRD1005,C,OP191,25:13.0,25:13.0,932,17,78.21,1.28,Completed,1
4195,MCH002,PRD1004,A,OP273,14:02.0,14:02.0,446,19,73.74,1.37,Completed,1
4196,MCH001,PRD1004,B,OP246,48:39.0,48:39.0,851,3,74.45,1.45,Completed,1
4197,MCH003,PRD1003,A,OP118,05:24.0,05:24.0,792,7,84.23,1.45,Completed,1
4198,MCH002,PRD1005,C,OP210,21:51.0,21:51.0,924,7,71.25,1.42,Completed,1
4199,MCH001,PRD1005,A,OP119,07:48.0,07:48.0,887,11,87.92,1.43,Completed,1
4200,MCH001,PRD1005,B,OP179,37:17.0,37:17.0,771,15,88.58,1.26,Completed,1
4201,MCH001,PRD1002,C,OP215,41:24.0,41:24.0,404,7,79.13,1.48,Completed,1
4202,MCH002,PRD1002,A,OP166,55:22.0,55:22.0,861,11,87.52,1.05,Completed,1
4203,MCH003,PRD1001,A,OP116,05:30.0,05:30.0,552,1,76.51,1.2,Completed,1
4204,MCH002,PRD1001,B,OP202,49:31.0,49:31.0,645,15,80.03,1.11,Completed,1
4205,MCH001,PRD1005,C,OP223,57:24.0,57:24.0,985,5,73.95,1.45,Completed,1
4206,MCH002,PRD1003,C,OP171,46:02.0,46:02.0,741,18,75.94,1.31,Completed,1
4207,MCH002,PRD1003,A,OP161,57:07.0,57:07.0,922,19,87.09,1.2,Completed,1
4208,MCH002,PRD1001,A,OP210,12:26.0,12:26.0,556,5,88.25,1.16,Completed,1
4209,MCH001,PRD1003,B,OP228,06:55.0,06:55.0,894,1,89.34,1.36,Completed,1
4210,MCH001,PRD1003,B,OP162,26:24.0,26:24.0,575,18,72.64,1.09,Completed,1
4211,MCH003,PRD1004,C,OP125,16:23.0,16:23.0,607,3,88.06,1.41,Completed,1
4212,MCH001,PRD1004,C,OP257,30:51.0,30:51.0,996,16,78.32,1.41,Completed,1
4213,MCH003,PRD1005,B,OP168,56:52.0,56:52.0,800,6,83.95,1.05,Completed,1
4214,MCH002,PRD1002,A,OP126,59:01.0,59:01.0,681,8,86.05,1.28,Completed,1
4215,MCH002,PRD1001,B,OP202,21:39.0,21:39.0,744,1,84.18,1.02,Completed,1
4216,MCH002,PRD1005,C,OP183,37:11.0,37:11.0,985,7,74.1,1.16,Completed,1
4217,MCH002,PRD1005,A,OP192,25:32.0,25:32.0,506,4,84.9,1.33,Completed,1
4218,MCH001,PRD1002,C,OP241,12:47.0,12:47.0,680,0,75.06,1.29,Completed,1
4219,MCH001,PRD1003,C,OP217,58:32.0,58:32.0,713,7,87.26,1.45,Completed,1
4220,MCH001,PRD1004,A,OP142,16:53.0,16:53.0,434,1,82.26,1.08,Completed,1
4221,MCH003,PRD1002,B,OP113,12:49.0,12:49.0,411,9,79.06,1.44,Completed,1
4222,MCH001,PRD1004,B,OP237,28:14.0,28:14.0,861,1,86.02,1.39,Completed,1
4223,MCH001,PRD1003,B,OP156,01:17.0,01:17.0,769,1,70.2,1.3,Completed,1
4224,MCH002,PRD1002,C,OP115,42:11.0,42:11.0,704,19,76.28,1.37,Completed,1
4225,MCH002,PRD1005,A,OP185,17:08.0,17:08.0,458,9,79.29,1.43,Completed,1
4226,MCH003,PRD1001,A,OP188,09:18.0,09:18.0,816,17,70.73,1.34,Completed,1
4227,MCH002,PRD1003,A,OP121,21:38.0,21:38.0,523,3,72.01,1.39,Completed,1
4228,MCH001,PRD1004,C,OP191,34:57.0,34:57.0,465,16,77.62,1.44,Completed,1
4229,MCH002,PRD1002,A,OP261,35:47.0,35:47.0,486,12,83.6,1.29,Completed,1
4230,MCH002,PRD1002,B,OP238,56:27.0,56:27.0,619,16,85.71,1.47,Completed,1
4231,MCH002,PRD1004,A,OP284,56:22.0,56:22.0,555,2,88.59,1.22,Completed,1
4232,MCH003,PRD1001,A,OP131,13:06.0,13:06.0,451,6,74.56,1.12,Completed,1
4233,MCH002,PRD1002,A,OP160,35:53.0,35:53.0,485,1,84.05,1.17,Completed,1
4234,MCH003,PRD1002,A,OP198,04:18.0,04:18.0,973,3,82.2,1.36,Completed,1
4235,MCH003,PRD1005,C,OP229,24:44.0,24:44.0,635,19,84.13,1.3,Completed,1
4236,MCH003,PRD1003,B,OP110,38:52.0,38:52.0,543,18,89.6,1.09,Completed,1
4237,MCH001,PRD1001,B,OP230,33:11.0,33:11.0,509,17,77.06,1.3,Completed,1
4238,MCH003,PRD1004,C,OP131,28:57.0,28:57.0,996,9,81.43,1.5,Completed,1
4239,MCH001,PRD1001,A,OP273,32:55.0,32:55.0,475,5,71.21,1.18,Completed,1
4240,MCH002,PRD1004,B,OP250,56:27.0,56:27.0,815,4,74.8,1.28,Completed,1
4241,MCH003,PRD1003,A,OP181,00:07.0,00:07.0,926,9,84.42,1.32,Completed,1
4242,MCH001,PRD1005,B,OP276,56:06.0,56:06.0,480,19,85.24,1.49,Completed,1
4243,MCH001,PRD1004,A,OP276,48:20.0,48:20.0,447,19,70.7,1.16,Completed,1
4244,MCH001,PRD1004,B,OP189,40:24.0,40:24.0,576,7,75.7,1.4,Completed,1
4245,MCH003,PRD1005,A,OP246,53:47.0,53:47.0,858,3,79.39,1.27,Completed,1
4246,MCH001,PRD1001,B,OP287,45:32.0,45:32.0,486,2,82.75,1.13,Completed,1
4247,MCH001,PRD1003,C,OP127,03:36.0,03:36.0,894,12,79.77,1.36,Completed,1
4248,MCH003,PRD1003,C,OP194,03:12.0,03:12.0,721,2,76.23,1.35,Completed,1
4249,MCH003,PRD1005,C,OP215,18:01.0,18:01.0,416,10,76.31,1.2,Completed,1
4250,MCH003,PRD1003,A,OP272,41:27.0,41:27.0,683,10,82.64,1.08,Completed,1
4251,MCH003,PRD1001,B,OP127,50:56.0,50:56.0,727,8,86.66,1.26,Completed,1
4252,MCH003,PRD1002,A,OP142,50:43.0,50:43.0,976,20,72.48,1.41,Completed,1
4253,MCH003,PRD1005,C,OP288,01:36.0,01:36.0,687,1,70.73,1.02,Completed,1
4254,MCH003,PRD1001,B,OP107,38:14.0,38:14.0,659,12,83.35,1.15,Completed,1
4255,MCH003,PRD1004,A,OP170,12:55.0,12:55.0,907,16,89.05,1.23,Completed,1
4256,MCH003,PRD1003,A,OP233,11:07.0,11:07.0,788,18,83.77,1.07,Completed,1
4257,MCH002,PRD1001,C,OP199,13:51.0,13:51.0,746,7,86.1,1.15,Completed,1
4258,MCH002,PRD1001,A,OP164,27:09.0,27:09.0,526,4,88.15,1.28,Completed,1
4259,MCH003,PRD1004,B,OP298,28:44.0,28:44.0,705,5,71.24,1.29,Completed,1
4260,MCH001,PRD1001,A,OP227,53:53.0,53:53.0,759,11,81.74,1.45,Completed,1
4261,MCH002,PRD1001,A,OP147,36:44.0,36:44.0,685,8,87.95,1.43,Completed,1
4262,MCH002,PRD1005,C,OP176,59:10.0,59:10.0,533,16,73.31,1.21,Completed,1
4263,MCH001,PRD1001,C,OP185,19:32.0,19:32.0,991,13,80.07,1.26,Completed,1
4264,MCH001,PRD1005,C,OP295,14:58.0,14:58.0,879,14,78.9,1.19,Completed,1
4265,MCH003,PRD1003,C,OP284,22:01.0,22:01.0,670,20,85.18,1.31,Completed,1
4266,MCH003,PRD1001,C,OP265,58:28.0,58:28.0,466,3,79.34,1.01,Completed,1
4267,MCH003,PRD1002,B,OP199,26:34.0,26:34.0,696,2,73.02,1.18,Completed,1
4268,MCH001,PRD1001,A,OP123,56:38.0,56:38.0,853,8,81.86,1.1,Completed,1
4269,MCH002,PRD1002,C,OP125,22:51.0,22:51.0,578,0,74.42,1.26,Completed,1
4270,MCH001,PRD1004,B,OP264,59:51.0,59:51.0,508,9,74.4,1.5,Completed,1
4271,MCH001,PRD1003,B,OP175,12:35.0,12:35.0,601,6,72.63,1.5,Completed,1
4272,MCH001,PRD1003,C,OP282,44:35.0,44:35.0,707,2,74.93,1.29,Completed,1
4273,MCH002,PRD1004,B,OP151,38:19.0,38:19.0,841,6,72.43,1.42,Completed,1
4274,MCH003,PRD1004,C,OP114,09:35.0,09:35.0,916,6,89.57,1.26,Completed,1
4275,MCH003,PRD1005,C,OP129,06:17.0,06:17.0,933,7,86.63,1.37,Completed,1
4276,MCH001,PRD1001,C,OP167,32:27.0,32:27.0,753,8,75.08,1.15,Completed,1
4277,MCH001,PRD1005,C,OP146,30:21.0,30:21.0,422,12,70.74,1.36,Completed,1
4278,MCH003,PRD1001,C,OP123,14:28.0,14:28.0,965,8,78.24,1.11,Completed,1
4279,MCH003,PRD1003,A,OP168,19:35.0,19:35.0,637,1,80.25,1.48,Completed,1
4280,MCH002,PRD1003,A,OP229,13:00.0,13:00.0,434,16,74.21,1.03,Completed,1
4281,MCH003,PRD1001,B,OP148,51:20.0,51:20.0,555,14,73.04,1.41,Completed,1
4282,MCH001,PRD1001,B,OP192,46:19.0,46:19.0,855,19,88.33,1.49,Completed,1
